frame_id,child_frame_id,timestamp_sec,timestamp_nanosec,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w
odom,base_link,1651236802,259012096,-23.361236572265625,112.57048034667969,-19.43808341026306,-0.011960748583078384,-0.007291825953871012,-0.9134411811828613,-0.40672966837882996
odom,base_link,1651236802,359012096,-23.361236572265625,112.57048034667969,-19.43808627128601,-0.011960767209529877,-0.007291943300515413,-0.9134410619735718,-0.40672990679740906
odom,base_link,1651236802,449011968,-23.361236572265625,112.57048034667969,-19.438087701797485,-0.011960817500948906,-0.007292000111192465,-0.9134409427642822,-0.40673011541366577
odom,base_link,1651236802,489011968,-23.361236572265625,112.57048034667969,-19.438088178634644,-0.0119608324021101,-0.007292015012353659,-0.9134409427642822,-0.4067302346229553
odom,base_link,1651236802,579011840,-23.361234664916992,112.57048034667969,-19.438088417053223,-0.01196085661649704,-0.0072920736856758595,-0.9134408235549927,-0.4067304730415344
odom,base_link,1651236802,619011840,-23.361234664916992,112.57048034667969,-19.43808889389038,-0.011960871517658234,-0.007292099762707949,-0.9134408235549927,-0.406730592250824
odom,base_link,1651236802,669011712,-23.361234664916992,112.57047271728516,-19.4380886554718,-0.011960882693529129,-0.007292109075933695,-0.9134407043457031,-0.40673068165779114
odom,base_link,1651236802,749011712,-23.361234664916992,112.57047271728516,-19.43808937072754,-0.011960886418819427,-0.007292127702385187,-0.9134407043457031,-0.40673092007637024
odom,base_link,1651236802,869011712,-23.361234664916992,112.57047271728516,-19.43808937072754,-0.011960918083786964,-0.007292123045772314,-0.913440465927124,-0.40673115849494934
odom,base_link,1651236802,969011456,-23.36123275756836,112.57047271728516,-19.43808937072754,-0.011960918083786964,-0.007292123045772314,-0.9134403467178345,-0.40673139691352844
odom,base_link,1651236802,989011456,-23.36123275756836,112.57047271728516,-19.43808937072754,-0.011960921809077263,-0.007292123045772314,-0.9134403467178345,-0.4067314565181732
odom,base_link,1651236803,69011456,-23.36123275756836,112.57047271728516,-19.43808937072754,-0.011960918083786964,-0.007292123511433601,-0.9134402275085449,-0.40673163533210754
odom,base_link,1651236803,129011456,-23.36123275756836,112.57047271728516,-19.43808937072754,-0.011960923671722412,-0.007292131893336773,-0.9134402275085449,-0.40673181414604187
odom,base_link,1651236803,169011456,-23.36123275756836,112.57047271728516,-19.43808937072754,-0.011960923671722412,-0.0072921523824334145,-0.9134402275085449,-0.4067319333553314
odom,base_link,1651236803,199011328,-23.36123275756836,112.57047271728516,-19.43808937072754,-0.011960921809077263,-0.0072921570390462875,-0.9134401082992554,-0.4067319631576538
odom,base_link,1651236803,259011328,-23.36123275756836,112.57047271728516,-19.43808937072754,-0.011960916221141815,-0.007292184047400951,-0.9134401082992554,-0.40673214197158813
odom,base_link,1651236803,339011072,-23.361230850219727,112.57047271728516,-19.43808937072754,-0.011960921809077263,-0.007292209193110466,-0.9134399890899658,-0.40673232078552246
odom,base_link,1651236803,439011072,-23.361230850219727,112.57047271728516,-19.43808937072754,-0.011960906907916069,-0.007292201742529869,-0.9134398698806763,-0.40673255920410156
odom,base_link,1651236803,459011072,-23.361230850219727,112.57047271728516,-19.43808913230896,-0.011960897594690323,-0.007292198948562145,-0.9134398698806763,-0.40673261880874634
odom,base_link,1651236803,559011072,-23.361230850219727,112.57047271728516,-19.43808913230896,-0.011960886418819427,-0.007292172871530056,-0.9134397506713867,-0.40673285722732544
odom,base_link,1651236803,599011072,-23.361230850219727,112.57047271728516,-19.43808937072754,-0.011960882693529129,-0.007292165420949459,-0.9134397506713867,-0.406732976436615
odom,base_link,1651236803,629010944,-23.361230850219727,112.57047271728516,-19.43808937072754,-0.011960884556174278,-0.007292155176401138,-0.9134396314620972,-0.4067330062389374
odom,base_link,1651236803,729010944,-23.361230850219727,112.57047271728516,-19.43808913230896,-0.011960847303271294,-0.0072921402752399445,-0.9134395122528076,-0.4067332446575165
odom,base_link,1651236803,799010816,-23.361228942871094,112.57047271728516,-19.43808889389038,-0.01196085661649704,-0.007292143069207668,-0.9134395122528076,-0.4067334532737732
odom,base_link,1651236803,839010816,-23.361228942871094,112.57047271728516,-19.43808937072754,-0.011960862204432487,-0.007292138412594795,-0.9134393930435181,-0.40673351287841797
odom,base_link,1651236803,949010688,-23.361228942871094,112.57047271728516,-19.43808937072754,-0.011960860341787338,-0.007292133755981922,-0.9134393930435181,-0.40673384070396423
odom,base_link,1651236804,49010432,-23.361228942871094,112.57046508789062,-19.43808913230896,-0.01196085475385189,-0.007292168214917183,-0.913439154624939,-0.40673401951789856
odom,base_link,1651236804,149010432,-23.36122703552246,112.57046508789062,-19.43808913230896,-0.01196085661649704,-0.007292172871530056,-0.913439154624939,-0.40673431754112244
odom,base_link,1651236804,179010304,-23.36122703552246,112.57046508789062,-19.43808937072754,-0.011960862204432487,-0.007292162626981735,-0.9134390354156494,-0.4067343473434448
